[5740012318000],LLLLLLLLLLLLLLLLLL,LL,[ 1416.0-1416.0-1.416 ],515.435,1.94412960345588,5951.2191011236,3061.1,,,,,0.6,1.9
[5740012301800],BBBBBBBBBBBBBBBBBB,LL,[ 1416.0-1416.0-1.416 ],439.426,2.26514931864308,6840.84179495578,3020.0,,,,,0.7,2.3
[5740012300180],GGGGGGGGGGGGGGGGGG,LL,[ 1416.0-1416.0-1.416 ],528.05,1.8895376301419,6142.00109200109,3250.5,,,,,0.6,1.9
[5742012300180],GGGGGGGGGGGGGGGGGG,BL,[ 1416.0-1416.0-1.416 ],508.007,1.96312852013483,6336.16170212766,3227.6,,,,,0.6,2
[5740012300018],NNNNNNNNNNNNNNNNNN,LL,[ 1416.0-1416.0-1.416 ],409.117,2.44324942400395,3741.07697740113,1531.2,,,,,2,2.4
[5741012300018],NNNNNNNNNNNNNNNNNN,LB,[ 1416.0-1416.0-1.416 ],386.182,2.58932524773369,3671.36976047904,1417.9,,,,,2.2,2.6
[0000012318000],LLLLLLLLLLLLLLLLLL,LL,[ 408.0-408.0-0.408 ],1543.42,0.637442072451666,3449.479550479,5411.4,,,,,,
[0000012301800],BBBBBBBBBBBBBBBBBB,LL,[ 408.0-408.0-0.408 ],1481.01,0.708245392863719,3527.52225974823,4980.6,,,,,,
[0000012300180],GGGGGGGGGGGGGGGGGG,LL,[ 408.0-408.0-0.408 ],1658.53,0.603070836700479,3589.06222764511,5951.3,,,,,3449.5,5951.2
[0002012300180],GGGGGGGGGGGGGGGGGG,BL,[ 408.0-408.0-0.408 ],1614.48,0.620262743298061,3607.25374204535,5815.7,,,,,3527.5,6840.8
[0000012300018],NNNNNNNNNNNNNNNNNN,LL,[ 408.0-408.0-0.408 ],508.72,1.9579395427428,3272.73344651952,1671.5,,,,,3589.1,6142
[0001012300018],NNNNNNNNNNNNNNNNNN,LB,[ 408.0-408.0-0.408 ],443.989,2.24958214011747,3331.13133940182,1480.8,,,,,3607.3,6336.2
,,,,,,,,,,,,3272.7,3741.1
,,,,,,,,,,,,3331.1,3671.4
